Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),49.25,8.01,56.06,92203.86,36.82,39.94,49.05,49.69,50.09,50.40,50.68,50.85,51.22,3.15
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,194.78,15.00,344.00,364626.00,61.86,123.00,141.00,162.00,193.00,222.00,260.00,283.00,320.00,50.64
HTTP Chunks Sent,1.00,1.00,1.00,1872.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.73,6.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Overhead (ms),0.00,0.00,0.73,6.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
HTTP Connection Reused (ratio),0.99,0.00,1.00,1860.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.08
HTTP Data Received (KB),49.78,4.40,87.58,93185.46,16.42,31.68,36.14,41.40,49.27,56.59,66.26,72.01,81.47,12.79
HTTP Data Sent (KB),1.04,0.57,1.73,1943.31,0.57,0.72,0.77,0.89,1.05,1.19,1.28,1.33,1.57,0.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3962.51,322.88,7881.76,7417810.46,1628.10,2551.66,2840.30,3258.05,3908.98,4546.97,5312.53,5740.43,6785.46,1043.21
HTTP Receiving (ms),3827.25,253.93,7095.67,7164611.40,976.61,2391.38,2739.83,3159.15,3791.36,4374.22,5105.74,5589.05,6537.67,1010.00
HTTP Sending (ms),0.17,0.11,1.64,313.76,0.13,0.14,0.14,0.14,0.15,0.17,0.19,0.23,0.51,0.08
HTTP Total Time (ms),3962.51,322.88,7881.76,7417817.02,1628.10,2551.66,2840.30,3258.05,3908.98,4546.97,5312.53,5740.43,6785.46,1043.21
HTTP Waiting (TTFB) (ms),135.09,42.42,1682.74,252885.30,51.56,53.25,54.08,60.33,64.38,71.83,79.61,641.84,1672.79,291.83
Input Sequence Length (tokens),236.47,133.00,406.00,442669.00,143.00,155.00,173.00,204.00,235.00,271.25,303.00,323.00,340.00,50.37
Inter Chunk Latency (ms),19.81,0.00,155.56,7164177.42,12.12,13.75,14.36,15.31,16.83,25.05,26.37,27.08,29.74,7.24
Inter Token Latency (ms),19.74,15.21,26.25,36957.78,17.58,19.32,19.45,19.59,19.71,19.85,19.98,20.13,23.00,0.70
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),194.83,15.00,344.00,364729.00,62.57,123.00,141.00,162.00,193.00,222.00,260.00,283.00,320.00,50.66
Output Token Count (tokens),194.83,15.00,344.00,364729.00,62.57,123.00,141.00,162.00,193.00,222.00,260.00,283.00,320.00,50.66
Output Token Throughput Per User (tokens/sec/user),50.71,38.10,65.74,94935.17,43.47,49.67,50.05,50.38,50.73,51.06,51.41,51.76,56.87,1.74
Prefill Throughput Per User (tokens/sec/user),3464.64,94.02,7332.73,6485805.84,130.21,373.98,2200.11,2852.85,3557.46,4233.02,4844.75,5393.59,6067.11,1238.40
Request Latency (ms),3962.33,322.93,7861.99,7417483.15,1628.17,2551.71,2840.35,3258.11,3909.03,4547.02,5312.58,5740.48,6785.51,1043.02
Time to First Output Token (ms),135.31,42.62,1684.44,253305.73,51.77,53.45,54.30,60.54,64.58,72.05,79.84,642.10,1673.24,291.87
Time to First Token (ms),135.31,42.62,1684.44,253305.73,51.77,53.45,54.30,60.54,64.58,72.05,79.84,642.10,1673.24,291.87
Time to Second Token (ms),25.40,0.57,155.22,47551.81,11.87,13.54,14.09,15.11,16.89,24.80,26.50,32.02,149.21,28.00
Usage Completion Tokens (tokens),194.83,15.00,344.00,364729.00,62.57,123.00,141.00,162.00,193.00,222.00,260.00,283.00,320.00,50.66
Usage Prompt Tokens (tokens),236.47,133.00,406.00,442669.00,143.00,155.00,173.00,204.00,235.00,271.25,303.00,323.00,340.00,50.37
Usage Total Tokens (tokens),431.30,158.00,622.00,807398.00,271.60,322.00,336.00,382.00,427.00,481.00,532.00,549.00,578.00,73.50

Metric,Value
Benchmark Duration (sec),59.90
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),6088.86
Request Count,1872.00
Request Throughput (requests/sec),31.25
Total Input Sequence Length (tokens),442669.00
Total Output Sequence Length (tokens),364729.00
Total Output Tokens (tokens),364729.00
Total Token Throughput (tokens/sec),13478.86
Total Usage Completion Tokens (tokens),364729.00
Total Usage Prompt Tokens (tokens),442669.00
Total Usage Total Tokens (tokens),807398.00
