Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),7.14,3.71,32.28,3963.80,4.37,4.90,5.02,5.33,5.67,6.21,10.21,16.23,30.45,4.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,495.86,315.00,644.00,275201.00,382.00,427.90,442.00,462.00,493.00,523.00,560.00,584.50,620.00,50.26
HTTP Chunks Sent,1.00,1.00,1.00,555.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.06,0.00,2.66,32.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.60,0.28
HTTP Connection Overhead (ms),0.06,0.00,2.66,32.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.60,0.28
HTTP Connection Reused (ratio),0.94,0.00,1.00,523.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.23
HTTP Data Received (KB),125.79,80.18,163.40,69813.89,97.05,108.60,112.01,117.23,125.02,132.52,141.94,148.13,157.39,12.70
HTTP Data Sent (KB),15.05,11.70,19.36,8350.85,12.61,12.98,13.25,14.04,15.06,16.07,16.81,17.15,17.96,1.35
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),81137.12,13775.25,96799.84,45031103.36,16033.27,30679.41,47703.23,86074.45,88778.07,90245.49,92198.34,92863.89,94986.32,19244.91
HTTP Receiving (ms),14659.40,7847.87,20799.80,8135966.78,10021.66,11576.39,12433.55,13359.33,14648.47,15710.09,17184.28,18123.67,19683.55,1938.31
HTTP Sending (ms),0.26,0.13,3.53,145.36,0.13,0.14,0.14,0.15,0.17,0.22,0.33,0.77,2.02,0.33
HTTP Total Time (ms),81137.18,13775.25,96799.84,45031136.02,16033.27,30679.41,47703.23,86074.45,88778.07,90245.49,92198.34,92863.89,94986.32,19244.92
HTTP Waiting (TTFB) (ms),66477.46,336.25,80007.79,36894991.23,1923.75,16892.01,33607.62,72600.00,74448.54,75334.08,76125.14,76589.81,78670.02,19098.83
Input Sequence Length (tokens),3541.16,2914.00,4560.00,1965345.00,2978.00,3051.00,3158.00,3348.00,3533.00,3750.50,3941.00,4060.00,4161.00,300.41
Inter Chunk Latency (ms),29.72,0.00,7591.73,8135965.38,15.14,16.47,16.93,17.53,18.08,18.66,19.98,164.85,175.37,45.98
Inter Token Latency (ms),29.58,19.19,47.06,16416.93,25.15,26.41,27.49,28.62,29.54,30.46,31.48,32.51,36.05,2.06
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),495.93,315.00,644.00,275242.00,382.00,427.90,442.00,462.00,493.00,523.00,560.00,584.50,620.00,50.25
Output Token Count (tokens),495.93,315.00,644.00,275242.00,382.00,427.90,442.00,462.00,493.00,523.00,560.00,584.50,620.00,50.25
Output Token Throughput Per User (tokens/sec/user),33.96,21.25,52.11,18849.45,27.76,30.76,31.77,32.83,33.86,34.95,36.38,37.86,39.76,2.30
Prefill Throughput Per User (tokens/sec/user),133.11,38.27,10195.70,73878.11,39.77,41.17,42.54,45.45,48.32,53.51,107.81,205.68,1858.68,580.04
Request Latency (ms),81137.18,13775.32,96799.90,45031137.37,16033.34,30679.47,47703.30,86074.50,88778.12,90245.54,92198.42,92863.95,94986.37,19244.90
Time to First Output Token (ms),66477.79,336.51,80009.32,36895171.99,1924.03,16892.29,33607.94,72600.20,74448.74,75334.29,76125.41,76590.14,78671.17,19098.80
Time to First Token (ms),66477.79,336.51,80009.32,36895171.99,1924.03,16892.29,33607.94,72600.20,74448.74,75334.29,76125.41,76590.14,78671.17,19098.80
Time to Second Token (ms),57.76,7.60,525.33,32058.67,12.98,14.75,15.12,15.76,16.53,157.85,171.95,174.19,178.26,70.95
Usage Completion Tokens (tokens),495.93,315.00,644.00,275242.00,382.00,427.90,442.00,462.00,493.00,523.00,560.00,584.50,620.00,50.25
Usage Prompt Tokens (tokens),3541.16,2914.00,4560.00,1965345.00,2978.00,3051.00,3158.00,3348.00,3533.00,3750.50,3941.00,4060.00,4161.00,300.41
Usage Total Tokens (tokens),4037.09,3293.00,5028.00,2240587.00,3454.00,3553.00,3653.00,3816.00,4046.00,4243.50,4449.00,4540.00,4715.00,307.14

Metric,Value
Benchmark Duration (sec),396.60
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),694.00
Request Count,555.00
Request Throughput (requests/sec),1.40
Total Input Sequence Length (tokens),1965345.00
Total Output Sequence Length (tokens),275242.00
Total Output Tokens (tokens),275242.00
Total Token Throughput (tokens/sec),5649.46
Total Usage Completion Tokens (tokens),275242.00
Total Usage Prompt Tokens (tokens),1965345.00
Total Usage Total Tokens (tokens),2240587.00
