Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),12.71,8.74,33.18,4447.42,9.42,10.16,10.44,10.93,11.53,12.15,14.83,27.08,32.12,4.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,501.58,340.00,625.00,175554.00,398.00,420.45,438.00,464.00,501.00,535.00,560.40,583.00,594.00,48.30
HTTP Chunks Sent,1.00,1.00,1.00,350.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.79,10.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.13
HTTP Connection Overhead (ms),0.03,0.00,0.79,10.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.13
HTTP Connection Reused (ratio),0.95,0.00,1.00,334.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.21
HTTP Data Received (KB),127.24,86.35,158.55,44533.75,101.08,106.79,111.68,117.65,127.19,135.48,142.09,147.77,150.25,12.17
HTTP Data Sent (KB),15.02,11.83,17.78,5255.43,12.02,12.90,13.48,14.18,15.06,15.85,16.57,17.03,17.70,1.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),41782.43,13023.94,54764.02,14623851.76,14598.43,20284.69,33161.32,42073.73,43743.22,45153.96,46592.39,47593.67,49658.77,7242.04
HTTP Receiving (ms),14361.57,6806.58,21719.90,5026549.86,9675.05,11165.90,11871.23,12978.81,14446.79,15658.58,16781.63,17484.26,19303.74,2039.49
HTTP Sending (ms),0.20,0.13,0.99,70.52,0.13,0.14,0.14,0.14,0.16,0.19,0.25,0.34,0.86,0.14
HTTP Total Time (ms),41782.46,13023.94,54764.02,14623862.03,14598.43,20284.69,33161.32,42073.73,43743.22,45153.96,46592.39,47593.67,49659.17,7242.05
HTTP Waiting (TTFB) (ms),27420.66,329.09,36410.83,9597231.39,1248.49,5124.66,19238.55,29030.07,29526.72,29991.62,30536.05,31474.01,35099.85,6998.03
Input Sequence Length (tokens),3536.03,2819.00,4147.00,1237611.00,2857.71,3068.00,3139.00,3336.00,3541.50,3757.00,3890.00,3931.95,4123.00,284.03
Inter Chunk Latency (ms),28.77,0.00,4684.63,5026425.41,14.82,15.95,16.37,16.88,17.38,17.98,19.23,161.87,170.44,46.23
Inter Token Latency (ms),28.59,20.08,36.94,10007.66,23.69,25.59,26.33,27.58,28.44,29.60,30.89,31.66,34.66,1.98
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),501.65,340.00,625.00,175579.00,398.00,420.45,439.80,464.00,501.00,535.00,560.40,583.00,594.00,48.23
Output Token Count (tokens),501.65,340.00,625.00,175579.00,398.00,420.45,439.80,464.00,501.00,535.00,560.40,583.00,594.00,48.23
Output Token Throughput Per User (tokens/sec/user),35.14,27.07,49.80,12299.68,28.86,31.59,32.37,33.79,35.16,36.26,37.98,39.08,42.22,2.46
Prefill Throughput Per User (tokens/sec/user),238.22,77.77,9004.39,83376.43,91.96,101.08,106.02,113.13,121.31,129.30,184.55,737.08,2820.99,657.77
Request Latency (ms),41782.14,13024.02,54764.04,14623748.30,14598.50,20284.76,33161.41,42073.78,43743.28,45154.01,46592.44,47593.73,49658.82,7241.96
Time to First Output Token (ms),27420.92,329.39,36411.03,9597322.89,1248.83,5124.91,19238.80,29030.27,29526.93,29991.83,30536.25,31474.23,35100.89,6998.02
Time to First Token (ms),27420.92,329.39,36411.03,9597322.89,1248.83,5124.91,19238.80,29030.27,29526.93,29991.83,30536.25,31474.23,35100.89,6998.02
Time to Second Token (ms),63.28,7.97,817.05,22146.91,13.50,14.18,14.69,15.25,15.93,162.41,168.16,170.11,175.75,79.97
Usage Completion Tokens (tokens),501.65,340.00,625.00,175579.00,398.00,420.45,439.80,464.00,501.00,535.00,560.40,583.00,594.00,48.23
Usage Prompt Tokens (tokens),3536.03,2819.00,4147.00,1237611.00,2857.71,3068.00,3139.00,3336.00,3541.50,3757.00,3890.00,3931.95,4123.00,284.03
Usage Total Tokens (tokens),4037.69,3358.00,4662.00,1413190.00,3380.54,3548.00,3632.00,3880.00,4035.00,4265.00,4383.00,4477.10,4583.00,283.33

Metric,Value
Benchmark Duration (sec),250.98
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),699.58
Request Count,350.00
Request Throughput (requests/sec),1.39
Total Input Sequence Length (tokens),1237611.00
Total Output Sequence Length (tokens),175579.00
Total Output Tokens (tokens),175579.00
Total Token Throughput (tokens/sec),5630.77
Total Usage Completion Tokens (tokens),175579.00
Total Usage Prompt Tokens (tokens),1237611.00
Total Usage Total Tokens (tokens),1413190.00
