Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),34.77,25.37,51.48,17837.96,27.43,31.01,31.80,33.27,34.89,36.31,37.20,37.59,44.22,2.67
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,126.01,70.00,128.00,64644.00,80.48,113.00,127.00,128.00,128.00,128.00,128.00,128.00,128.00,7.93
HTTP Chunks Sent,1.00,1.00,1.00,513.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,0.78,5.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.08
HTTP Connection Overhead (ms),0.01,0.00,0.78,5.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.08
HTTP Connection Reused (ratio),0.98,0.00,1.00,505.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.12
HTTP Data Received (KB),32.46,18.29,33.09,16650.07,20.92,29.18,32.83,32.91,32.95,32.98,33.01,33.03,33.06,2.01
HTTP Data Sent (KB),4.20,0.88,10.15,2153.08,1.27,1.65,2.04,2.78,3.81,5.31,6.87,8.11,9.51,1.92
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),3647.55,1736.99,5045.80,1871193.07,2477.23,3178.27,3405.82,3497.47,3649.87,3818.15,3997.32,4108.82,4457.06,342.44
HTTP Receiving (ms),3338.46,1556.89,4064.72,1712632.31,1942.79,2826.79,3067.54,3163.45,3381.65,3521.67,3683.30,3856.87,3976.49,340.43
HTTP Sending (ms),0.17,0.13,0.98,86.98,0.13,0.13,0.14,0.14,0.15,0.17,0.21,0.25,0.74,0.09
HTTP Total Time (ms),3647.56,1736.99,5046.39,1871198.19,2477.23,3178.27,3405.82,3497.47,3649.87,3818.15,3997.32,4108.82,4457.73,342.46
HTTP Waiting (TTFB) (ms),308.92,46.22,1869.48,158473.78,57.42,74.61,90.58,150.90,246.82,371.59,602.51,752.50,1505.28,257.33
Input Sequence Length (tokens),915.82,180.00,2311.00,469818.00,255.20,356.00,451.20,607.00,823.00,1163.00,1502.00,1779.60,2133.52,421.75
Inter Chunk Latency (ms),26.70,0.00,164.00,1710977.28,10.94,11.90,12.30,12.81,13.33,14.12,79.55,113.13,153.21,33.71
Inter Token Latency (ms),26.68,15.90,36.61,13688.52,19.50,23.95,24.23,25.20,26.74,27.96,29.41,30.71,33.21,2.36
OSL Mismatch Diff % (%),-1.54,-45.31,0.00,-789.06,-37.12,-11.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20
Output Sequence Length (tokens),126.03,70.00,128.00,64654.00,80.48,113.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,7.94
Output Token Count (tokens),126.03,70.00,128.00,64654.00,80.48,113.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,7.94
Output Token Throughput Per User (tokens/sec/user),37.79,27.31,62.89,19386.81,30.12,32.57,34.00,35.77,37.39,39.69,41.26,41.75,51.27,3.65
Prefill Throughput Per User (tokens/sec/user),4380.70,212.60,11812.38,2247299.13,586.31,1058.64,1250.41,1968.34,3540.61,6442.66,9050.23,10107.95,11149.12,2888.80
Request Latency (ms),3644.38,1725.27,5045.85,1869567.99,2463.34,3131.22,3405.87,3495.07,3646.57,3817.15,3997.38,4108.87,4457.11,346.82
Time to First Output Token (ms),309.14,46.44,1870.26,158590.71,57.75,74.82,90.79,151.10,247.03,371.85,602.73,752.69,1506.27,257.39
Time to First Token (ms),309.14,46.44,1870.26,158590.71,57.75,74.82,90.79,151.10,247.03,371.85,602.73,752.69,1506.27,257.39
Time to Second Token (ms),77.57,0.44,164.00,39792.75,10.46,11.41,11.90,13.07,75.62,141.51,152.12,153.06,155.99,55.60
Usage Completion Tokens (tokens),126.03,70.00,128.00,64654.00,80.48,113.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,7.94
Usage Prompt Tokens (tokens),915.82,180.00,2311.00,469818.00,255.20,356.00,451.20,607.00,823.00,1163.00,1502.00,1779.60,2133.52,421.75
Usage Total Tokens (tokens),1041.86,250.00,2439.00,534472.00,362.36,469.00,576.20,732.00,951.00,1291.00,1630.00,1907.60,2261.52,424.45

Metric,Value
Benchmark Duration (sec),59.87
OSL Mismatch Count,36.00
Output Token Throughput (tokens/sec),1079.82
Request Count,513.00
Request Throughput (requests/sec),8.57
Total Input Sequence Length (tokens),469818.00
Total Output Sequence Length (tokens),64654.00
Total Output Tokens (tokens),64654.00
Total Token Throughput (tokens/sec),8926.47
Total Usage Completion Tokens (tokens),64654.00
Total Usage Prompt Tokens (tokens),469818.00
Total Usage Total Tokens (tokens),534472.00
