Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
E2E Output Token Throughput (tokens/sec/user),93.71,88.81,95.11,937.10,89.26,91.07,93.33,93.94,94.12,94.32,94.66,94.88,95.06,1.67
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,200.00,200.00,200.00,2000.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.40,0.00,4.01,4.01,0.00,0.00,0.00,0.00,0.00,0.00,0.40,2.20,3.65,1.20
HTTP Connection Overhead (ms),0.75,0.00,7.48,7.48,0.00,0.00,0.00,0.00,0.00,0.00,0.75,4.11,6.80,2.24
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),51.19,51.09,51.31,511.91,51.09,51.11,51.13,51.15,51.15,51.26,51.29,51.30,51.30,0.07
HTTP Data Sent (KB),0.25,0.23,0.26,2.45,0.23,0.23,0.23,0.23,0.25,0.26,0.26,0.26,0.26,0.01
HTTP DNS Lookup (ms),0.35,0.00,3.47,3.47,0.00,0.00,0.00,0.00,0.00,0.00,0.35,1.91,3.16,1.04
HTTP Duration (excl. conn) (ms),2134.90,2102.79,2252.00,21349.05,2103.80,2107.82,2112.86,2120.33,2124.96,2128.97,2143.47,2197.74,2241.15,39.84
HTTP Receiving (ms),2104.49,2084.77,2113.73,21044.93,2085.78,2089.84,2094.91,2102.33,2106.35,2110.12,2111.94,2112.84,2113.55,8.22
HTTP Sending (ms),0.56,0.12,4.21,5.57,0.12,0.13,0.13,0.13,0.15,0.17,0.63,2.42,3.85,1.22
HTTP Total Time (ms),2135.65,2102.79,2259.48,21356.52,2103.80,2107.82,2112.86,2120.33,2124.96,2128.97,2144.22,2201.85,2247.95,42.04
HTTP Waiting (TTFB) (ms),29.85,17.14,140.12,298.54,17.15,17.20,17.26,17.40,17.66,17.88,30.26,85.19,129.14,36.76
Input Sequence Length (tokens),44.60,41.00,53.00,446.00,41.00,41.00,41.00,42.00,44.00,46.50,47.60,50.30,52.46,3.50
Inter Chunk Latency (ms),10.58,6.24,14.45,21044.89,8.90,9.77,9.95,10.26,10.58,10.89,11.19,11.40,12.12,0.59
Inter Token Latency (ms),10.58,10.48,10.62,105.75,10.48,10.50,10.53,10.56,10.58,10.60,10.61,10.62,10.62,0.04
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),200.00,200.00,200.00,2000.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.00
Output Token Count (tokens),200.00,200.00,200.00,2000.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.00
Output Token Throughput Per User (tokens/sec/user),94.56,94.15,95.45,945.61,94.15,94.19,94.23,94.31,94.48,94.66,94.99,95.22,95.41,0.37
Prefill Throughput Per User (tokens/sec/user),2305.32,283.85,3058.81,23053.21,462.82,1178.71,2073.57,2372.06,2428.20,2595.26,2693.15,2875.98,3022.24,705.58
Request Latency (ms),2134.96,2102.84,2252.08,21349.56,2103.84,2107.87,2112.90,2120.38,2125.00,2129.02,2143.52,2197.80,2241.22,39.85
Time to First Output Token (ms),30.47,17.33,144.44,304.67,17.34,17.38,17.44,17.66,17.86,18.06,30.88,87.66,133.08,37.99
Time to First Token (ms),30.47,17.33,144.44,304.67,17.34,17.38,17.44,17.66,17.86,18.06,30.88,87.66,133.08,37.99
Time to Second Token (ms),10.58,9.94,11.36,105.79,9.96,10.06,10.18,10.23,10.55,10.86,11.06,11.21,11.33,0.43
Usage Completion Tokens (tokens),200.00,200.00,200.00,2000.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,0.00
Usage Prompt Tokens (tokens),44.60,41.00,53.00,446.00,41.00,41.00,41.00,42.00,44.00,46.50,47.60,50.30,52.46,3.50
Usage Total Tokens (tokens),244.60,241.00,253.00,2446.00,241.00,241.00,241.00,242.00,244.00,246.50,247.60,250.30,252.46,3.50

Metric,Value
Benchmark Duration (sec),21.38
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),93.53
Request Count,10.00
Request Throughput (requests/sec),0.47
Total Input Sequence Length (tokens),446.00
Total Output Sequence Length (tokens),2000.00
Total Output Tokens (tokens),2000.00
Total Token Throughput (tokens/sec),114.38
Total Usage Completion Tokens (tokens),2000.00
Total Usage Prompt Tokens (tokens),446.00
Total Usage Total Tokens (tokens),2446.00
